"customer","tariff","from_region","to_region","price","cost","col6","col7"
"All Customers","XLWB Regional Tariff","South West","Scotland","48.00","65.00","1.37",""
"All Customers","LWB Regional Tariff","Wales","North East","48.00","65.00","1.37",""
"All Customers","LWB Regional Tariff","Wales","South East","48.00","65.00","1.37",""
"All Customers","XLWB Regional Tariff","Wales","East of England","52.00","71.50","1.37",""
"All Customers","XLWB Regional Tariff","Wales","Greater London","52.00","71.50","1.37",""
"All Customers","LWB Regional Tariff","North East","North West","42.00","58.50","1.38",""
"All Customers","LWB Regional Tariff","East of England","Midlands","51.00","71.50","1.40",""
"All Customers","Small Van Regional Tariff","Midlands","Midlands","31.00","42.90","1.40",""
"All Customers","SWB Regional Tariff","North West","Yorkshire and the Humber","34.00","48.10","1.40",""
"All Customers","XLWB Regional Tariff","East of England","Midlands","55.00","78.00","1.43",""
"All Customers","XLWB Regional Tariff","East of England","North East","55.00","78.00","1.43",""
"All Customers","Luton Regional Tariff","Greater London","North East","73.00","104.00","1.43",""
"All Customers","Luton Regional Tariff","Greater London","Scotland","73.00","104.00","1.43",""
"All Customers","LWB Regional Tariff","Midlands","East of England","41.00","58.50","1.43",""
"All Customers","LWB Regional Tariff","Midlands","South East","41.00","58.50","1.43",""
"All Customers","LWB Regional Tariff","Midlands","South West","41.00","58.50","1.43",""
"All Customers","LWB Regional Tariff","Midlands","Wales","41.00","58.50","1.43",""
"All Customers","LWB Regional Tariff","Midlands","Yorkshire and the Humber","41.00","58.50","1.43",""
"All Customers","XLWB Regional Tariff","Midlands","East of England","50.00","71.50","1.43",""
"All Customers","XLWB Regional Tariff","Midlands","North East","50.00","71.50","1.43",""
"All Customers","XLWB Regional Tariff","North East","Midlands","50.00","71.50","1.43",""
"All Customers","XLWB Regional Tariff","North East","East of England","50.00","71.50","1.43",""
"All Customers","XLWB Regional Tariff","North East","Greater London","50.00","71.50","1.43",""
"All Customers","XLWB Regional Tariff","North East","North West","50.00","71.50","1.43",""
"All Customers","LWB Regional Tariff","North West","Midlands","41.00","58.50","1.43",""
"All Customers","LWB Regional Tariff","North West","North East","41.00","58.50","1.43",""
"All Customers","XLWB Regional Tariff","North West","Greater London","45.00","65.00","1.43",""
"All Customers","Small Van Regional Tariff","Scotland","Scotland","31.00","44.20","1.43",""
"All Customers","LWB Regional Tariff","South East","South West","45.00","65.00","1.43",""
"All Customers","Luton Regional Tariff","South East","Scotland","77.00","110.50","1.43",""
"All Customers","SWB Regional Tariff","South West","Wales","41.00","58.50","1.43",""
"All Customers","SWB Regional Tariff","Wales","South West","41.00","58.50","1.43",""
"All Customers","LWB Regional Tariff","Wales","Midlands","45.00","65.00","1.43",""
"All Customers","LWB Regional Tariff","Wales","East of England","45.00","65.00","1.43",""
"All Customers","XLWB Regional Tariff","Wales","North East","50.00","71.50","1.43",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","East of England","41.00","58.50","1.43",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","Wales","41.00","58.50","1.43",""
"All Customers","XLWB Regional Tariff","Yorkshire and the Humber","South East","41.00","58.50","1.43",""
"All Customers","XLWB Regional Tariff","Yorkshire and the Humber","South West","41.00","58.50","1.43",""
"All Customers","XLWB Regional Tariff","Yorkshire and the Humber","Wales","41.00","58.50","1.43",""
"All Customers","SWB Regional Tariff","South East","East of England","41.00","58.50","1.44",""
"All Customers","XLWB Regional Tariff","North West","South East","45.00","65.00","1.46",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","Midlands","40.00","58.50","1.46",""
"All Customers","XLWB Regional Tariff","Yorkshire and the Humber","Scotland","40.00","58.50","1.46",""
"All Customers","Small Van Regional Tariff","South East","South East","29.00","42.90","1.47",""
"All Customers","Small Van Regional Tariff","East of England","Greater London","33.00","49.40","1.48",""
"All Customers","Small Van Regional Tariff","North West","North West","25.00","37.70","1.50",""
"All Customers","XLWB Regional Tariff","North West","Midlands","43.00","65.00","1.50",""
"All Customers","XLWB Regional Tariff","North West","East of England","43.00","65.00","1.50",""
"All Customers","XLWB Regional Tariff","North West","Scotland","43.00","65.00","1.50",""
"All Customers","XLWB Regional Tariff","North West","South West","43.00","65.00","1.50",""
"All Customers","XLWB Regional Tariff","South East","Midlands","52.00","78.00","1.50",""
"All Customers","XLWB Regional Tariff","South East","Wales","52.00","78.00","1.50",""
"All Customers","LWB Regional Tariff","Wales","North West","43.00","65.00","1.50",""
"All Customers","XLWB Regional Tariff","Wales","Midlands","48.00","71.50","1.50",""
"All Customers","XLWB Regional Tariff","Wales","North West","48.00","71.50","1.50",""
"All Customers","XLWB Regional Tariff","Wales","South East","48.00","71.50","1.50",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","Yorkshire and the Humber","29.00","42.90","1.50",""
"All Customers","XLWB Regional Tariff","Yorkshire and the Humber","Greater London","39.00","58.50","1.50",""
"All Customers","LWB Regional Tariff","Wales","Greater London","43.00","65.00","1.51",""
"All Customers","LWB Regional Tariff","Yorkshire and the Humber","North East","38.00","58.50","1.53",""
"All Customers","SWB Regional Tariff","East of England","Greater London","38.00","58.50","1.56",""
"All Customers","SWB Regional Tariff","Greater London","East of England","38.00","58.50","1.56",""
"All Customers","LWB Regional Tariff","Greater London","South West","42.00","65.00","1.56",""
"All Customers","LWB Regional Tariff","Greater London","Wales","42.00","65.00","1.56",""
"All Customers","XLWB Regional Tariff","Greater London","South West","50.00","78.00","1.56",""
"All Customers","Luton Regional Tariff","Greater London","North West","67.00","104.00","1.56",""
"All Customers","LWB Regional Tariff","Midlands","Greater London","38.00","58.50","1.56",""
"All Customers","XLWB Regional Tariff","Midlands","North West","46.00","71.50","1.56",""
"All Customers","XLWB Regional Tariff","Midlands","Scotland","46.00","71.50","1.56",""
"All Customers","XLWB Regional Tariff","Midlands","South East","46.00","71.50","1.56",""
"All Customers","XLWB Regional Tariff","Midlands","South West","46.00","71.50","1.56",""
